1. Training Performance Table
Epoch,Loss,Average Reward,Average Q Value
1,4.4683,0.0456,0.0694
2,4.5502,-0.6101,0.0714
1,4.9168,0.3812,0.0837
1,5.1172,-0.5875,-0.1102

2. Hyperparameter Tuning Comparison (Best to Worst)
Rank,Trial ID,Learning Rate,Gamma,Hidden Size,Average Reward,Average Loss
1,trial_18_774686,0.0005,0.99,128,2.9531,5.9236
2,trial_16_e7362f,0.0005,0.99,32,2.4766,5.5166
3,trial_10_6bb503,0.0005,0.9,32,2.2500,5.2866
4,trial_2_c2db8e,0.0001,0.9,64,2.1250,6.5855
5,trial_19_fabe4b,0.001,0.9,32,1.6953,5.0424
6,trial_20_cbb43e,0.001,0.9,64,1.5460,5.9894
7,trial_21_79a175,0.001,0.9,128,1.5312,5.6366
8,trial_7_c81fa3,0.0001,0.99,32,1.5149,5.2749
9,trial_12_0f00b4,0.0005,0.9,128,1.4915,5.8147
10,trial_25_b731ae,0.001,0.99,32,1.4448,5.4859
11,trial_3_60b6d4,0.0001,0.9,128,1.4292,4.1493
12,trial_2_81104f,0.0001,0.9,64,0.9525,5.4235
13,trial_6_95c087,0.0001,0.95,128,0.8928,7.0737
14,trial_15_482fbc,0.0005,0.95,128,0.8040,5.8460
15,trial_11_4c74c9,0.0005,0.9,64,0.7338,5.6748
16,trial_25_e4a42c,0.001,0.99,32,0.6953,4.3305
17,trial_7_161121,0.0001,0.99,32,0.6791,4.8587
18,trial_27_db8e11,0.001,0.99,128,0.6406,5.2240
19,trial_17_0161df,0.0005,0.99,64,0.6172,4.7789
20,trial_4_d133f5,0.0001,0.95,32,0.6088,4.6765
21,trial_5_ecffa7,0.0001,0.95,64,0.5469,4.5242
22,trial_12_7d99a3,0.0005,0.9,128,0.5078,4.6116
23,trial_24_e0b6f0,0.001,0.95,128,0.5039,5.6177
24,trial_9_2fff5b,0.0001,0.99,128,0.4922,4.9655
25,trial_5_578ab1,0.0001,0.95,64,0.4453,5.6673
26,trial_22_cbed21,0.001,0.95,32,0.4297,4.9702
27,trial_21_09a1d3,0.001,0.9,128,0.4057,5.7550
28,trial_17_7a9eb6,0.0005,0.99,64,0.3281,4.9092
29,trial_11_d8ac99,0.0005,0.9,64,0.3281,5.0637
30,trial_13_2ac236,0.0005,0.95,32,0.2885,3.6385
31,trial_4_8da775,0.0001,0.95,32,0.2656,4.7939
32,trial_23_dc5002,0.001,0.95,64,0.2339,5.8250
33,trial_3_f31d63,0.0001,0.9,128,0.2031,4.6803
34,trial_8_8dae81,0.0001,0.99,64,0.0889,6.7144
35,trial_26_e4653b,0.001,0.99,64,0.0065,4.2092
36,trial_1_e16dbe,0.0001,0.9,32,-0.0006,4.8424
37,trial_27_4bafad,0.001,0.99,128,-0.2439,5.3016
38,trial_14_e62b59,0.0005,0.95,64,-0.3438,5.2734
39,trial_18_50ea6d,0.0005,0.99,128,-0.5000,5.0964
40,trial_1_fe0776,0.0001,0.9,32,-0.6262,4.6267
41,trial_8_464d9c,0.0001,0.99,64,-0.6484,5.3191
42,trial_9_93b6da,0.0001,0.99,128,-1.0083,4.5332
43,trial_10_0fe39f,0.0005,0.9,32,-1.1745,6.5940
44,trial_14_66fd59,0.0005,0.95,64,-1.2357,4.8276
45,trial_15_e6b3c1,0.0005,0.95,128,-1.4069,8.0822
46,trial_23_50165e,0.001,0.95,64,-1.7112,7.6836
47,trial_26_3693a2,0.001,0.99,64,-1.8679,6.9907
48,trial_20_932a28,0.001,0.9,64,-2.2644,7.7774
49,trial_13_58574a,0.0005,0.95,32,-2.3205,10.1387
50,trial_24_0e1587,0.001,0.95,128,-2.3438,6.1844
51,trial_19_83f082,0.001,0.9,32,-2.3463,7.0842
52,trial_6_ae4cc4,0.0001,0.95,128,-2.5534,8.0967
53,trial_16_e77e4b,0.0005,0.99,32,-3.5105,7.0840
54,trial_22_a52dc7,0.001,0.95,32,-6.0749,9.1682

3. Experiment Comparison
Experiment ID,Learning Rate,Gamma,Hidden Size,Epochs,Average Reward,Average Loss
exp_test_1,0.001,0.99,32,2,-0.5710,5.5845
exp_test_2 * (Best),0.0005,0.95,64,2,0.5869,5.0150

4. Simulation Comparison
Simulation Run ID,Average Waiting Time,Average Queue Length,Throughput,Average Reward
sim_run_1_6129b7 * (Best),0.0000,0.5362,0,-4.6500
sim_run_2_b44f47,0.0000,0.5362,0,-4.6500
sim_run_1_b3476f,0.0000,0.5362,0,-4.6500
sim_run_2_f6a12b,0.0000,0.5362,0,-4.6500
sim_run_1_afcd02,0.0000,0.5362,0,-4.6500
sim_run_2_899bbf,0.0000,0.5362,0,-4.6500

5. Overall Project Summary
Metric Name,Metric Value
Total Training Epochs,4
Total Tuning Trials,54
Total Experiments,2
Total Simulations,6
Best Average Reward,2.9531 (tuning: trial_18_774686)
Lowest Loss,3.6385 (tuning: trial_13_2ac236)
Best Hyperparameter Configuration,"LR: 0.0005, Gamma: 0.99, Hidden Size: 128"
Best Experiment,exp_test_2 (Reward: 0.5869)
Best Simulation,sim_run_1_6129b7 (Reward: -4.6500)
Average Throughput,0.00
Average Waiting Time,0.0000
Average Queue Length,0.5362
