episode,avg_reward,avg_loss,avg_q_value,epsilon,buffer_size,timestamp
1,13.26,11.41552,1.12823,0.981,100,1788932596.57
2,10.9214,7.13288,9.62446,0.962,200,1788932601.984
3,9.2138,5.57959,10.59436,0.943,300,1788932607.27
4,5.6728,5.05333,10.26842,0.924,400,1788932612.776
5,-1.5654,5.42132,8.69826,0.905,500,1788932618.338
6,-6.1671,5.84619,6.10652,0.886,600,1788932623.926
7,-6.6105,5.47642,4.22513,0.867,700,1788932630.29
8,-4.0327,5.46198,2.3409,0.848,800,1788932637.45
9,-3.557,5.27744,1.68534,0.829,900,1788932645.28
10,-6.2067,5.12268,1.20969,0.81,1000,1788932654.232
11,-3.2296,5.86526,1.53272,0.791,1100,1788932661.359
12,-6.2733,4.939,1.0774,0.772,1200,1788932669.135
13,-5.6085,4.79919,-0.03822,0.753,1300,1788932678.682
14,-7.3999,4.68782,-0.38793,0.734,1400,1788932686.439
15,-7.084,4.70129,-0.76614,0.715,1500,1788932695.926
16,-6.007,4.68818,-1.1737,0.696,1600,1788932706.427
17,-7.6936,4.55075,-2.20121,0.677,1700,1788932718.506
18,-7.3385,4.52998,-2.24479,0.658,1800,1788932728.339
19,-8.4623,4.56615,-2.63025,0.639,1900,1788932741.253
20,-6.7482,4.3362,-3.60547,0.62,2000,1788932753.124
21,-5.4534,5.0573,-6.84461,0.601,2100,1788932768.598
22,-6.3916,4.49048,-7.15144,0.582,2200,1788932784.464
23,-5.8124,4.41604,-7.63108,0.563,2300,1788932799.292
24,-5.0535,4.14094,-8.67247,0.544,2400,1788932816.337
25,-7.8367,4.09958,-8.70501,0.525,2500,1788932832.045
26,-7.0872,4.10192,-9.20332,0.506,2600,1788932847.832
27,-6.155,4.03662,-9.07164,0.487,2700,1788932862.236
28,-5.5306,4.10567,-9.12684,0.468,2800,1788932878.345
29,-5.0264,3.96803,-9.66123,0.449,2900,1788932893.657
30,-7.617,3.8972,-9.44502,0.43,3000,1788932910.163
31,-7.7046,4.69929,-13.60863,0.411,3100,1788932928.813
32,-10.056,4.06862,-14.23976,0.392,3200,1788932945.622
33,-12.2993,4.05188,-14.96168,0.373,3300,1788932960.885
34,-9.4074,3.91124,-15.51266,0.354,3400,1788932975.809
35,-13.2424,3.90512,-16.11141,0.335,3500,1788932992.16
36,-11.3329,3.9443,-15.78579,0.316,3600,1788933007.819
37,-8.4039,4.04606,-16.51779,0.297,3700,1788933026.119
38,-11.9111,4.44142,-16.28605,0.278,3800,1788933042.563
39,-17.6308,4.57034,-16.32014,0.259,3900,1788933060.305
40,-16.0233,4.85272,-17.25892,0.24,4000,1788933075.348
41,-10.2608,6.31585,-20.54205,0.221,4100,1788933090.843
42,-7.4867,6.34536,-21.55159,0.202,4200,1788933107.903
43,-11.6601,6.6495,-21.12905,0.183,4300,1788933126.707
44,-7.4232,6.6757,-20.95003,0.164,4400,1788933143.313
45,-10.1154,7.3147,-21.20837,0.145,4500,1788933160.889
46,-10.4057,7.32787,-21.07004,0.126,4600,1788933182.503
47,-4.786,7.72397,-20.79191,0.107,4700,1788933198.638
48,-6.7077,8.24485,-20.39144,0.088,4800,1788933220.369
49,-9.0397,8.05602,-19.98604,0.069,4900,1788933237.158
50,-7.4226,8.11868,-20.10323,0.05,5000,1788933253.361
51,-4.3357,8.7114,-22.0188,0.05,5100,1788933273.68
52,-4.3812,8.96842,-20.58956,0.05,5200,1788933293.277
53,-7.6705,9.35286,-20.33186,0.05,5300,1788933310.245
54,-10.3448,8.9993,-20.53015,0.05,5400,1788933334.937
55,-16.6094,8.8564,-20.01869,0.05,5500,1788933352.845
56,-23.1356,9.20321,-20.14033,0.05,5600,1788933373.204
57,-26.7555,8.89992,-20.75064,0.05,5700,1788933396.852
58,-30.3581,9.17398,-18.99163,0.05,5800,1788933419.045
59,-22.9871,9.19309,-19.4502,0.05,5900,1788933460.432
60,-16.8457,9.00376,-18.78414,0.05,6000,1788933497.948
61,-9.5062,8.56533,-19.37956,0.05,6100,1788933529.874
62,-12.4958,8.38842,-19.67018,0.05,6200,1788933552.504
63,-12.3864,8.42878,-18.3245,0.05,6300,1788933575.612
64,-10.8475,8.2272,-19.02089,0.05,6400,1788933601.684
65,-11.8108,8.39286,-17.96851,0.05,6500,1788933638.794
66,-5.7911,8.17609,-17.50129,0.05,6600,1788933684.701
67,-5.6731,8.11346,-18.22481,0.05,6700,1788933735.736
68,-12.7632,8.25456,-17.78361,0.05,6800,1788933770.746
69,-17.9184,8.05644,-17.45314,0.05,6900,1788933808.125
70,-23.2155,7.82376,-17.69434,0.05,7000,1788933846.445
71,-27.6398,7.27444,-17.20727,0.05,7100,1788933896.967
72,-19.4114,7.33777,-16.16701,0.05,7200,1788933953.23
73,-9.9794,7.22508,-15.91547,0.05,7300,1788933994.097
74,-12.4783,7.12165,-16.4561,0.05,7400,1788934030.052
75,-17.491,7.17436,-16.43416,0.05,7500,1788934071.484
76,-18.9614,7.10863,-15.82391,0.05,7600,1788934117.292
77,-10.8741,6.94431,-16.54933,0.05,7700,1788934151.623
78,-11.7799,7.05393,-16.03836,0.05,7800,1788934188.65
79,-21.1293,7.06081,-16.77926,0.05,7900,1788934233.245
80,-16.9134,7.00888,-16.27428,0.05,8000,1788934276.421
81,-17.687,6.7901,-16.68811,0.05,8100,1788934317.202
82,-9.4521,6.66065,-17.14967,0.05,8200,1788934355.876
83,-6.8928,6.84543,-17.11202,0.05,8300,1788934398.879
84,-8.133,6.89834,-15.90941,0.05,8400,1788934442.233
85,-11.2963,6.66793,-15.45836,0.05,8500,1788934497.579
86,-11.7634,6.83558,-16.82202,0.05,8600,1788934546.149
87,-11.2476,6.58941,-16.12301,0.05,8700,1788934575.895
88,-15.4264,6.77037,-16.29099,0.05,8800,1788934600.693
89,-14.8943,6.54681,-17.14877,0.05,8900,1788934628.538
90,-21.1387,6.44559,-16.05236,0.05,9000,1788934657.475
91,-17.7524,5.97045,-14.86703,0.05,9100,1788934686.702
92,-9.2968,5.88699,-14.09243,0.05,9200,1788934712.237
93,-6.5024,5.99103,-14.80392,0.05,9300,1788934739.522
94,-6.9051,5.76432,-14.71503,0.05,9400,1788934768.445
95,-3.6158,5.93367,-14.31044,0.05,9500,1788934795.907
96,-1.2492,6.12536,-14.36747,0.05,9600,1788934822.023
97,-7.5521,6.00533,-13.43814,0.05,9700,1788934852.759
98,-9.5548,5.96819,-14.62227,0.05,9800,1788934879.667
99,-1.3105,6.08983,-14.20953,0.05,9900,1788934905.197
100,-6.7228,5.79736,-14.41354,0.05,10000,1788934934.183
101,-8.8448,5.8547,-14.78422,0.05,10000,1788934964.817
102,-7.5872,5.65313,-15.75046,0.05,10000,1788934994.028
103,-11.1486,5.63356,-16.01864,0.05,10000,1788935021.384
104,-11.1761,5.36961,-16.27227,0.05,10000,1788935047.481
105,-8.8442,5.44757,-16.20611,0.05,10000,1788935079.965
106,-10.409,5.42801,-16.45406,0.05,10000,1788935107.447
107,-9.9804,5.61923,-16.19248,0.05,10000,1788935135.825
108,-10.0041,5.48043,-15.67399,0.05,10000,1788935164.076
109,-14.1531,5.54526,-15.46041,0.05,10000,1788935192.887
110,-19.7798,5.43049,-15.7783,0.05,10000,1788935221.903
111,-24.2923,5.26627,-15.59709,0.05,10000,1788935260.458
112,-14.8396,4.91554,-15.91479,0.05,10000,1788935298.687
113,-11.3905,5.08889,-15.48414,0.05,10000,1788935328.343
114,-11.592,4.99902,-15.44994,0.05,10000,1788935359.393
115,-11.0739,5.10832,-15.27177,0.05,10000,1788935389.287
116,-11.6132,5.14816,-15.16081,0.05,10000,1788935420.026
117,-11.1939,4.87881,-15.08098,0.05,10000,1788935452.058
118,-13.7578,5.07083,-14.90641,0.05,10000,1788935482.856
119,-16.7799,5.05844,-14.96076,0.05,10000,1788935515.403
120,-10.6164,4.90653,-14.78829,0.05,10000,1788935546.604
121,-16.3732,4.77729,-14.22529,0.05,10000,1788935579.735
122,-13.156,4.61192,-14.05537,0.05,10000,1788935622.689
